SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
1237011700,FONDO DE PAELLA,FONDO DE PAELLA,FONDO DE PAELLA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/15133.JPG,tabs/detalle-producto/15133,282.000,282.000,282.000,USD,1,,"{""MARCA"":[""ORBE""],""CATEGORIA"":[""Conservas""]}","[""Conservas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/15133.JPG,0,0,"[""88""]",282.000,2026-05-08 10:00:23
1529219985,MOREYS SALMON SEASONED GRILL,MOREYS SALMON SEASONED GRILL,MOREYS SALMON SEASONED GRILL,insert,1,https://riba.app/imgrs/THUMBS%20500X500/356979.JPG,tabs/detalle-producto/356979,1.454.000,1.454.000,1.454.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/356979.JPG,0,0,"[""103""]",1.454.000,2026-05-08 10:00:23
1529220446,MOREY WILD SALMON SEASONED ,MOREY WILD SALMON SEASONED ,MOREY WILD SALMON SEASONED ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/345888.JPG,tabs/detalle-producto/345888,1.454.000,1.454.000,1.454.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/345888.JPG,0,0,"[""103""]",1.454.000,2026-05-08 10:00:23
1529220461,WILD SALMON SEASONED GRIL ,WILD SALMON SEASONED GRIL ,WILD SALMON SEASONED GRIL ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/345892.JPG,tabs/detalle-producto/345892,2.335.000,2.335.000,2.335.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/345892.JPG,0,0,"[""103""]",2.335.000,2026-05-08 10:00:23
1529220471,WILD SALMON SWEET BOURBON ,WILD SALMON SWEET BOURBON ,WILD SALMON SWEET BOURBON ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/345891.JPG,tabs/detalle-producto/345891,1.454.000,1.454.000,1.454.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/345891.JPG,0,0,"[""103""]",1.454.000,2026-05-08 10:00:23
1529220476,MOREY WILD SALMON HERB ,MOREY WILD SALMON HERB ,MOREY WILD SALMON HERB ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/345890.JPG,tabs/detalle-producto/345890,1.454.000,1.454.000,1.454.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/345890.JPG,0,0,"[""103""]",1.454.000,2026-05-08 10:00:23
1529220709,WILD SALMON STEAKHOUSE,WILD SALMON STEAKHOUSE,WILD SALMON STEAKHOUSE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/345893.JPG,tabs/detalle-producto/345893,2.335.000,2.335.000,2.335.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/345893.JPG,0,0,"[""103""]",2.335.000,2026-05-08 10:00:23
1529220725,MOREY SALMON STEAKHOUSE,MOREY SALMON STEAKHOUSE,MOREY SALMON STEAKHOUSE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/345889.JPG,tabs/detalle-producto/345889,1.454.000,1.454.000,1.454.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/345889.JPG,0,0,"[""103""]",1.454.000,2026-05-08 10:00:23
1529223423,MOREYS TILAPIA SWEET CHILI,MOREYS TILAPIA SWEET CHILI,MOREYS TILAPIA SWEET CHILI,insert,1,https://riba.app/imgrs/THUMBS%20500X500/350542.JPG,tabs/detalle-producto/350542,1.454.000,1.454.000,1.454.000,USD,1,,"{""MARCA"":[""SEA PAK""],""CATEGORIA"":[""Pescados""]}","[""Pescados""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/350542.JPG,0,0,"[""103""]",1.454.000,2026-05-08 10:00:23
2010000006,BEACH CLIFF SARDINES ACEITE,BEACH CLIFF SARDINES ACEITE,BEACH CLIFF SARDINES ACEITE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/27449.JPG,tabs/detalle-producto/27449,220.000,220.000,220.000,USD,1,,"{""MARCA"":[""BEACH CLIFF""],""CATEGORIA"":[""Conservas""]}","[""Conservas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/27449.JPG,0,0,"[""88""]",220.000,2026-05-08 10:00:23
